"날짜","종가","시가","고가","저가","거래량","변동 %"
"2016- 08- 19","200.54","200.34","200.72","199.81","1.19M","-0.14%"
"2016- 08- 18","200.82","200.37","200.86","200.25","5.21M","0.24%"
"2016- 08- 17","200.34","200.05","200.53","199.14","3.16M","0.16%"
"2016- 08- 16","200.01","200.61","200.66","200.00","1.73M","-0.52%"
"2016- 08- 15","201.05","200.89","201.41","200.85","1.05M","0.29%"
"2016- 08- 12","200.47","200.32","200.70","200.04","1.72M","-0.10%"
"2016- 08- 11","200.67","200.31","200.89","200.00","1.65M","0.49%"
"2016- 08- 10","199.69","200.34","200.40","199.33","1.22M","-0.25%"
"2016- 08- 09","200.20","200.19","200.73","199.86","1.82M","0.06%"
"2016- 08- 08","200.07","200.41","200.51","199.79","1.44M","-0.05%"
"2016- 08- 05","200.17","199.34","200.22","199.19","1.82M","0.81%"
"2016- 08- 04","198.57","198.50","198.90","198.05","1.38M","0.10%"
"2016- 08- 03","198.38","197.74","198.42","197.40","2.06M","0.29%"
"2016- 08- 02","197.81","198.79","198.94","196.88","4.09M","-0.62%"
"2016- 08- 01","199.05","199.33","199.71","198.58","2.11M","-0.12%"
"2016- 07- 29","199.28","198.63","199.60","198.32","1.76M","0.18%"
"2016- 07- 28","198.93","198.49","199.21","197.97","937.22K","0.11%"
"2016- 07- 27","198.71","199.29","199.34","197.85","2.12M","-0.07%"
"2016- 07- 26","198.84","198.70","199.25","197.97","1.41M","-0.01%"
"2016- 07- 25","198.85","199.10","199.17","198.17","1.17M","-0.24%"
"2016- 07- 22","199.33","198.62","199.38","198.30","1.68M","0.46%"
"2016- 07- 21","198.41","199.07","199.32","197.97","4.51M","-0.38%"
"2016- 07- 20","199.16","198.92","199.44","198.41","1.10M","0.40%"
"2016- 07- 19","198.36","198.13","198.39","197.88","1.00M","-0.11%"
"2016- 07- 18","198.58","198.15","198.74","197.90","1.16M","0.29%"
"2016- 07- 15","198.01","198.93","198.93","197.56","2.35M","-0.15%"
"2016- 07- 14","198.31","198.58","198.80","197.89","3.69M","0.58%"
"2016- 07- 13","197.16","197.69","197.69","196.69","2.77M","-0.04%"
"2016- 07- 12","197.23","196.84","197.54","196.59","2.36M","0.70%"
"2016- 07- 11","195.85","195.62","196.41","195.41","3.59M","0.35%"
"2016- 07- 08","195.17","193.63","195.36","193.41","2.05M","1.52%"
"2016- 07- 07","192.25","192.56","193.26","191.44","1.70M","-0.07%"
"2016- 07- 06","192.38","190.71","192.49","189.97","2.20M","0.59%"
"2016- 07- 05","191.25","191.73","191.82","190.57","2.23M","-0.70%"
"2016- 07- 01","192.60","192.09","193.12","192.07","2.17M","0.21%"
"2016- 06- 30","192.20","190.13","192.24","189.53","3.82M","1.35%"
"2016- 06- 29","189.64","187.95","189.86","187.86","4.15M","1.72%"
"2016- 06- 28","186.43","184.87","186.44","184.53","4.48M","1.85%"
"2016- 06- 27","183.05","185.06","185.06","182.27","7.72M","-1.88%"
"2016- 06- 24","186.56","187.00","189.82","186.00","10.31M","-3.53%"
"2016- 06- 23","193.39","192.52","193.44","192.00","2.58M","1.29%"
"2016- 06- 22","190.92","191.45","192.21","190.78","2.25M","-0.17%"
"2016- 06- 21","191.24","191.15","191.65","190.65","1.83M","-0.21%"
"2016- 06- 20","191.65","192.56","193.26","191.56","1.19M","0.64%"
"2016- 06- 17","190.43","191.10","191.10","189.73","1.70M","-0.37%"
"2016- 06- 16","191.14","189.60","191.33","188.57","2.74M","0.33%"
"2016- 06- 15","190.52","191.26","191.96","190.36","1.59M","-0.15%"
"2016- 06- 14","190.80","190.83","191.45","189.80","2.05M","-0.22%"
"2016- 06- 13","191.22","192.03","192.97","191.12","2.32M","-0.75%"
"2016- 06- 10","192.67","193.07","193.43","192.12","1.93M","-0.96%"
"2016- 06- 09","194.54","194.02","194.69","193.75","1.52M","-0.15%"
"2016- 06- 08","194.84","194.34","194.95","194.21","1.04M","0.33%"
"2016- 06- 07","194.20","194.05","194.78","194.01","1.55M","0.18%"
"2016- 06- 06","193.85","193.29","194.24","193.12","1.18M","0.48%"
"2016- 06- 03","192.92","192.85","193.26","191.59","1.90M","-0.29%"
"2016- 06- 02","193.48","192.45","193.48","191.92","1.60M","0.30%"
"2016- 06- 01","192.90","191.88","193.06","191.63","2.38M","0.19%"
"2016- 05- 31","192.54","193.16","193.27","191.88","2.82M","-0.12%"
"2016- 05- 27","192.77","192.19","192.83","192.16","988.55K","0.39%"
"2016- 05- 26","192.02","192.14","192.36","191.68","1.23M","0.05%"
"2016- 05- 25","191.93","191.38","192.42","191.36","2.01M","0.68%"
"2016- 05- 24","190.63","189.13","191.01","189.08","1.99M","1.27%"
"2016- 05- 23","188.24","188.48","188.78","188.02","1.42M","-0.13%"
"2016- 05- 20","188.49","187.97","189.05","187.90","1.59M","0.62%"
"2016- 05- 19","187.32","187.15","187.59","185.97","1.80M","-0.32%"
"2016- 05- 18","187.93","187.50","189.20","186.78","1.94M","-0.02%"
"2016- 05- 17","187.96","189.35","189.65","187.33","3.33M","-0.88%"
"2016- 05- 16","189.63","187.98","190.16","187.93","1.08M","1.00%"
"2016- 05- 13","187.76","189.10","189.71","187.46","1.66M","-0.92%"
"2016- 05- 12","189.51","190.14","190.29","188.36","1.78M","0.06%"
"2016- 05- 11","189.40","190.71","191.07","189.39","2.73M","-0.94%"
"2016- 05- 10","191.19","189.61","191.21","189.54","1.02M","1.24%"
"2016- 05- 09","188.85","188.55","189.27","188.36","1.57M","0.11%"
"2016- 05- 06","188.65","187.21","188.72","187.00","1.55M","0.36%"
"2016- 05- 05","187.97","188.57","188.90","187.57","1.61M","-0.01%"
"2016- 05- 04","187.99","187.99","188.78","187.47","2.08M","-0.59%"
